pfaf_id,onedayFlood_Area_km,onedayperc_Area,fivedayFlood_Area_km,fivedayperc_Area
111013,10.40625,1.162551336924177,41.90625,4.681625654100063
111015,64.265625,0.3854629239237084,379.96875,2.27903899440232
111016,0.140625,0.0076566762192233,5.90625,0.3215804012073812
111017,16.03125,0.184999999830501,98.71875,1.1392105252720328
111019,2.671875,0.0406075599660092,94.359375,1.434088038799591
111030,5.34375,0.0965214546227007,68.484375,1.236998642138297
111050,4.640625,0.0285889445316182,150.328125,0.9261085364939374
111060,0.421875,0.0091827096776467,2.390625,0.0520353548399979
111070,72.0,0.6402471803370433,226.546875,2.0145277490683138
111084,0.140625,0.0011218158938039,1.265625,0.0100963430442357
111087,32.34375,0.2816707743001218,37.546875,0.3269830292962283
111091,0.140625,0.0812692059629784,10.265625,5.9326520352974255
111093,1.828125,0.0111077327602646,32.484375,0.1973758667400868
111095,0.140625,0.0094203749936219,0.140625,0.0094203749936219
111099,3.9375,0.080585538344198,50.34375,1.030343668829389
112111,162.140625,0.4931730380036437,1326.515625,4.03477993711047
112113,9.984375,0.1643600667081316,62.15625,1.0231992885210448
112115,0.703125,0.062662406212578,11.671875,1.040195943128796
112117,0.984375,0.0574415142835552,28.265625,1.64939205299923
112130,0.984375,0.0324360114349653,16.3125,0.5375110466365687
112150,1.265625,0.2647387405587693,8.859375,1.8531711839113851
112170,3.375,0.0234443032935811,59.34375,0.4122289995788019
112190,7.453125,0.0669877232079516,109.96875,0.9883848971437398
112300,4.78125,0.067805235508818,101.25,1.4358755754808536
112500,0.703125,0.099012204684274,19.546875,2.75253929022282
112700,0.5625,0.0071960146030424,67.78125,0.8671197596666143
112901,0.140625,0.5879153276994318,5.765625,24.104528435676706
112902,0.140625,0.0051256115129942,0.28125,0.0102512230259884
112903,1.96875,0.1987558278731367,37.828125,3.818951264133841
112907,0.703125,0.1062353642721831,16.03125,2.422166305405776
112909,23.765625,0.1353219741714561,273.796875,1.559005229064054
113000,6.046875,0.1533355029896738,56.109375,1.4228108300669733
114001,3.375,0.0071763636166147,163.546875,0.3477546202551235
114100,6.609375,0.4623921700131163,8.4375,0.5902878766124888
114210,2.671875,0.0184692106972268,30.375,0.2099657637158415
114224,2.671875,0.0040047950841262,7.03125,0.0105389344319111
114290,0.984375,0.0043034035663165,2.8125,0.0122954387609045
