Point No,Station,Basin,Country,Lat,Lon,Upstream area,Forecast Date,max_EPS,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_level,Days_until_peak,pfaf_id
1339,Na,Nile,Sudan,16.525,32.875,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172309
1360,Tamaniat,Nile,Sudan,15.975,32.575,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172309
1342,Huvinhedgi,Krishna,India,16.475,76.925,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,453661
1345,Phetchabun  S4B,Pasak River,Thailand,16.425,101.175,3566.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,443062
1402,Ban Na Som S14,Pasak River,Thailand,15.225,101.325,1247.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,443062
1432,Ban Chong Nua S9,Pasak River,Thailand,14.625,101.025,14374.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,443062
1346,Ban Kok,Mekong,Thailand,16.375,102.975,28500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,442670
1347,Paso De La Reyna,Verde,Mexico,16.275,-97.625,17617.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,771180
1348,Dire,Niger,Mali,16.275,-3.375,366500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,142777
1349,K  Agraharam,Krishna,India,16.275,77.825,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,453650
1350,Gao,Niger,Mali,16.225,-0.025,556000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142750
1373,Ansongo,Niger,Mali,15.675,0.475,566000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142750
1351,Ban Keng Done,Mekong,Lao People's Democratic Republic,16.175,105.325,19400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,10,442720
1352,Na,Usumacinta,Guatemala,16.125,-90.425,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,753690
1356,San Agustin Chixoy,Usumacinta,Guatemala,16.075,-90.425,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,753690
1359,Playa Grande,Usumacinta,Guatemala,15.975,-90.775,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753690
1392,Rio Blanco,Usumacinta,Guatemala,15.325,-91.175,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753690
1399,Puente Chocox,Usumacinta,Guatemala,15.275,-90.875,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753690
1405,Xococ,Not found,Not found,15.175,-90.575,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,753690
1354,Tonka,Niger,Mali,16.125,-3.725,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,142779
1357,Ban Chot,Mekong,Thailand,16.075,102.575,10200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,442690
1361,Yulquisis,Usumacinta,Guatemala,15.925,-91.125,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,753660
1362,San Luis Ixcan,Usumacinta,Guatemala,15.925,-90.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753660
1363,Modesto Mendez,Sarstoon,Guatemala,15.925,-89.225,,2026-03-02T00:00:00,2/-9999/-9999,2,-9999,-9999,0,14,753717
1375,Rio Dulce,Coastal,Guatemala,15.625,-88.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,753717
1383,Cahaboncito,Coastal,Guatemala,15.475,-89.575,,2026-03-02T00:00:00,2/-9999/-9999,2,-9999,-9999,0,15,753717
1393,Teleman,Coastal,Guatemala,15.325,-89.725,,2026-03-02T00:00:00,2/2/-9999,2,2,-9999,0,1,753717
1400,Matucuy,Coastal,Guatemala,15.275,-89.875,,2026-03-02T00:00:00,2/-9999/-9999,2,-9999,-9999,0,1,753717
1364,Mantralayam,Krishna,India,15.925,77.425,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,453643
1365,Cholachguda,Krishna,India,15.875,75.725,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,453664
1366,Nenton,Not found,Not found,15.825,-91.775,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753628
1367,La Laguna,Usumacinta,Guatemala,15.775,-91.875,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753628
1369,Chojil,Usumacinta,Guatemala,15.725,-91.925,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753628
1387,Xemal,Usumacinta,Guatemala,15.425,-91.675,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753628
1368,Yasothon,Mekong,Thailand,15.775,104.125,43100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,442650
1370,Las Mangas,Coastal,Honduras,15.725,-86.725,,2026-03-02T00:00:00,2/-9999/-9999,2,-9999,-9999,0,1,753730
1371,Saravane,Mekong,Lao People's Democratic Republic,15.725,106.375,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,442500
1381,Khong Sedone,Mekong,Lao People's Democratic Republic,15.575,105.825,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,7,442500
1409,Pakse,Mekong,Lao People's Democratic Republic,15.125,105.775,545000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,442500
1372,Nong Son,Tranh _ Thu Bon,Viet Nam,15.725,108.025,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,7,441054
1374,T  Ramapuram,Krishna,India,15.675,76.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,453644
1376,Na,Patacua,Honduras,15.625,-84.375,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753740
1428,Na,Patacua,Honduras,14.725,-85.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753740
1429,Guayabillas,Patacua,Honduras,14.625,-86.225,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753740
