Point No,Station,Basin,Country,Lat,Lon,Upstream area,Forecast Date,max_EPS,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_level,Days_until_peak,pfaf_id
1,Stolb,Lena,Russian Federation,72.325,126.825,2460000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342111
2,7_5Km Ds Of Mouth Of River Pur,Olenek,Russian Federation,72.175,123.325,198000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331810
3,Khatanga,Khatanga,Russian Federation,71.975,102.475,275000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331630
4,Saskylakh,Anabar,Russian Federation,71.975,114.075,78800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331761
5,Ubileynaya,Yana,Russian Federation,70.775,136.075,224000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351215
6,Kyusyur Kusur,Lena,Russian Federation,70.725,127.375,2430000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342115
7,Malaya Kuonapka At Dzhalinda,Anabar,Russian Federation,70.175,113.975,20300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331764
8,Polmak Nye,Tana,Norway,70.075,28.075,14161.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252106
10,Onnelansuvanto,Tana,Norway,69.925,26.975,10864.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252106
11,Utsjoki  Patoniva,Tana,Norway,69.775,27.025,1520.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252106
9,Na,Coastal,United States of America,69.975,-148.675,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,7,813904
12,Na,Lena,Russian Federation,69.675,124.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342119
13,Vorontsovo,Indigirka,Russian Federation,69.625,147.375,305000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351416
14,Namy,Omoloy,Russian Federation,69.575,132.325,10800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351108
15,Norilka At Valek,Pyasina,Russian Federation,69.425,88.325,19800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331295
16,Umiat Ak,Colville,United States of America,69.375,-152.125,35820.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,813805
17,Andrushkino,Alazeya,Russian Federation,69.175,154.475,29000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351603
18,Kaitakoski - Lake Inari Outlet,Coastal,Finland,68.925,27.125,14575.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252200
19,Kolymskaya,Kolyma,Russian Federation,68.725,158.725,526000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351851
20,Sukhana,Olenek,Russian Federation,68.675,118.075,127000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331839
21,Below Carnwath River,Anderson,Canada,68.625,-128.425,56300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,823041
22,Verkhne-Tulomskiy Ges,Tuloma,Russian Federation,68.625,31.825,17500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252400
23,Bytantay At Asar,Yana,Russian Federation,68.625,134.125,40000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351221
24,Argakhtakh,Alazeya,Russian Federation,68.425,153.325,17700.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351605
25,Below Andrew River,Anderson,Canada,68.375,-128.925,21500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,823042
26,Konstantinovo,Kolyma,Russian Federation,68.175,161.175,49600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351822
27,Ostrovnoje,Kolyma,Russian Federation,68.125,164.175,30000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351825
28,Near The Mouth,Ellice,Canada,67.675,-104.125,16900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,831600
29,Near The Mouth,Yukon,Canada,67.625,-139.675,13900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812606
30,Oksino,Pechora,Russian Federation,67.625,52.225,312000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,261810
31,Old Crow,Yukon,Canada,67.575,-139.875,55400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812605
35,Near International Boundary Yt,Yukon,Canada,67.425,-140.875,59829.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812605
32,Yana At Verkhoyansk,Yana,Russian Federation,67.575,133.375,45300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,351243
33,Above Chantrey Inlet,Hayes,Canada,67.525,-94.075,18100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,831820
34,Arctic Red River,Mackenzie,Canada,67.475,-133.775,1660000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822130
36,Below Bell River,Yukon,Canada,67.425,-137.775,36000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812607
37,Igarka,Yenisei,Russian Federation,67.425,86.525,2440000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,322150
38,Srednekolymsk,Kolyma,Russian Federation,67.375,153.625,361000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351853
39,Above Fort Mcpherson,Mackenzie,Canada,67.275,-134.875,70600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822121
40,Near Outlet Of Dismal Lakes,Coppermine,Canada,67.225,-116.575,2790.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,831204
41,Above Copper Creek,Coppermine,Canada,67.225,-115.875,46800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,831203
42,Kallio 2,Muonio,Sweden,67.225,23.575,14477.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,244204
43,Ponoy At Kanevka,Ponoy,Russian Federation,67.175,37.675,10200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252520
44,Kanevka,Ponoy,Russian Federation,67.125,39.675,10200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252520
45,Samburg,Pur,Russian Federation,67.025,78.175,95100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,313430
72,Na,Pur,Russian Federation,65.375,77.925,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,313430
46,Near Kiana Alas,Kobuk,United States of America,66.975,-160.125,24657.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,813203
47,Near The Mouth,Mackenzie,Canada,66.775,-133.075,18600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822140
48,Marraskoski Iisinki,Kemijoki,Finland,66.775,25.425,12303.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243802
49,Knyazhegubskoye Ges,Kovda,Russian Federation,66.775,32.325,25900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252580
50,Near The Mouth,Coastal,Canada,66.725,-108.825,16800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,831400
51,Salekhard,Ob,Russian Federation,66.625,66.525,2949998.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,312103
52,Sidorovsk,Taz,Russian Federation,66.575,82.225,100000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,313617
53,Seitakorva,Kemijoki,Finland,66.425,27.325,27424.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243803
54,Raektfors,Kalixaelven,Sweden,66.175,22.825,23103.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,12,244320
55,Na,Yenisei,Russian Federation,66.125,87.475,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,322190
56,Above Hermann River,Back,Canada,66.075,-96.475,93900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,831830
57,Poluy At Poluy,Ob,Russian Federation,66.025,68.725,15100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,312104
58,Turukhan At Yanov Stan,Taz,Russian Federation,66.025,84.275,10100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,313620
59,Kukkolankoski Oevre,Muonio,Finland,65.975,24.075,33930.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,9,244201
60,Near Stevens Village Ak,Yukon,United States of America,65.875,-149.725,508417.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812501
61,Above Canyon Creek,Mackenzie,Canada,65.875,-136.075,25700.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822127
62,Bodens Krv Vattenverk Trangfors,Lule,Sweden,65.825,21.675,24924.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,9,244340
63,Isohaara Near The Mouth,Kemijoki,Finland,65.775,24.525,50683.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243801
64,Igumnovo  Igumkovo,Mezen,Russian Federation,65.775,45.125,12000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,261602
65,Outlet Of Clut Lake,Mackenzie,Canada,65.625,-117.775,31100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822293
66,Nadym,Nadym,Russian Federation,65.625,72.675,48000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,313201
67,Bolshoy Porog,Yenisei,Russian Federation,65.575,90.075,447000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,322213
68,Sikfors Krv,Lule,Sweden,65.525,21.225,10816.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,10,244350
69,Ust-B88-Tsilma,Pechora,Russian Federation,65.425,52.125,248000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,261850
70,Snezhnoye,Anadyr,Russian Federation,65.425,172.925,106000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,354145
71,Outlet Of Point Lake,Coppermine,Canada,65.375,-113.975,19300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822699
73,Raasakka  Near The Mouth,Iijoki,Finland,65.325,25.425,14191.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243700
74,Norman Wells,Mackenzie,Canada,65.275,-126.825,1570000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822190
75,Below Cambrian Crek,Mackenzie,Canada,65.225,-128.575,11100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822180
76,Below Beechy Lake,Back,Canada,65.175,-105.975,19600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,831890
77,Outlet Of Great Bear Lake,Mackenzie,Canada,65.125,-123.525,145000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822210
78,Near The Mouth,Back,Canada,65.075,-104.525,14500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,831880
79,Meriskoski  Near The Mouth,Oulujoki,Finland,65.025,25.525,22841.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243600
92,Oulojarvi  Jylhama,Oulujoki,Finland,64.575,26.775,19839.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243600
80,Malonisogorskaya,Mezen,Russian Federation,65.025,45.675,56400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,261603
81,Putkinskaya Ges,Kem,Russian Federation,64.925,34.625,28700.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252700
82,Pyaku Pur At Tarko Sale,Pur,Russian Federation,64.925,77.775,31400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,313450
83,Tembenchy At Tembenchy,Yenisei,Russian Federation,64.925,98.925,18900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,322282
84,Eagle Ak,Yukon,United States of America,64.825,-141.175,293965.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812705
85,Fairbanks Ak,Yukon,United States of America,64.775,-147.875,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812471
86,Below Outlet Of Schultz Lake,Thelon,Canada,64.775,-96.975,152000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,832430
87,Kem At Yushkozero,Kem,Russian Federation,64.775,32.125,19800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252604
88,Kvistforsens Krv,Coastal,Sweden,64.725,20.875,11309.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,8,244360
89,Kulogory,North_European_Russia,Russian Federation,64.725,43.475,36700.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,261421
90,Nenana Alas,Yukon,United States of America,64.575,-149.075,66304.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812450
91,Above Lac Ste  Therese,Mackenzie,Canada,64.575,-121.725,17300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822240
93,Above Beverly Lake,Thelon,Canada,64.525,-101.375,65300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,832441
94,Algi At Algi 42 Km Up Of The Mouth,Indigirka,Russian Federation,64.475,141.825,17600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351492
95,Nera At Nerskaya Truda,Indigirka,Russian Federation,64.425,144.325,22300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351480
96,Near The Mouth,Yukon,Canada,64.375,-140.625,16600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812706
98,Near Steele Creek Alas,Yukon,United States of America,64.275,-141.375,15229.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812706
97,Above St  Clair Falls,Quoich,Canada,64.325,-93.925,30100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,832200
99,Outlet Of Marjorie Lake,Thelon,Canada,64.275,-99.575,67300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,832450
100,Lyapin At Saran Paul,Ob,Russian Federation,64.225,60.975,18500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,312260
101,Ust-Pinega,Northern Dvina _ Severnaya Dvina,Russian Federation,64.175,41.925,348000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,261410
102,Yurty,Indigirka,Russian Federation,64.025,141.875,51100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351493
103,Below Ghost River,Mackenzie,Canada,63.975,-115.425,13300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822627
104,Km 63 Above Mouth,Mackenzie,Canada,63.925,-125.325,15400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822340
105,Near The Mouth,Mackenzie,Canada,63.925,-124.075,10400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822350
106,Khatyryk-Khoma,Lena,Russian Federation,63.925,124.875,452000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342210
107,Stornorrfors Krv,Coastal,Sweden,63.875,20.025,26568.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,9,244380
108,Porog,Onega,Russian Federation,63.825,38.475,55770.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,261201
109,Above Kazan Falls,Thelon,Canada,63.675,-95.825,72300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,832421
110,Izhma At Ust  Ukhta,Pechora,Russian Federation,63.675,53.775,15000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,7,261860
111,Above Fraser Falls,Yukon,Canada,63.475,-135.125,30588.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812805
112,Near Tanacross Alas,Yukon,United States of America,63.375,-143.725,22144.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812479
113,Verkhoyanski Perevoz,Lena,Russian Federation,63.325,131.975,696000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342415
114,At The Mouth,Yukon,Canada,63.275,-139.275,51000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812801
115,Solleftea Krv,Angerman,Sweden,63.175,17.275,30638.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,9,244401
116,Below Outlet Of Lac La Martre,Mackenzie,Canada,63.125,-116.975,13900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822624
117,Above White River,Yukon,Canada,63.075,-139.475,149961.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812930
118,Vim At Veslyana,Northern Dvina _ Severnaya Dvina,Russian Federation,62.925,50.825,19100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,261480
119,Near The Mouth,Yukon,Canada,62.875,-135.525,13800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,812944
120,Outlet Of Artillery Lake,Mackenzie,Canada,62.875,-108.425,26600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822691
121,Pelly Crossing,Yukon,Canada,62.825,-136.575,49000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812941
122,Gold Creek Ak,Susitna,United States of America,62.775,-149.675,15954.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,811407
123,Kaltimo,Vuoksi,Finland,62.775,30.125,20816.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243229
124,Kallavesi Konnus Karvio,Vuoksi,Finland,62.725,28.075,16270.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243228
125,Above Metahdali Creek,Mackenzie,Canada,62.675,-122.875,20200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822360
126,Inlet To Prosperous Lake,Mackenzie,Canada,62.675,-114.275,11300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822622
127,Outlet Of Prosperous Lake,Mackenzie,Canada,62.525,-114.225,16300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822622
128,Bergeforsens Krv,Coastal,Sweden,62.525,17.375,25761.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,5,244502
129,Below Oneil Lake,Ferguson,Canada,62.475,-95.075,12400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,832600
130,Kamenskoye,Coastal,Russian Federation,62.425,166.075,71600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,354504
131,Skallboele Krv,Coastal,Sweden,62.375,16.925,12088.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,12,244504
132,Below Vangorda Creek,Yukon,Canada,62.225,-133.375,22100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812947
133,Leppavesi  Luusua,Kymijoki,Finland,62.225,25.875,17684.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243400
173,Anjala,Kymijoki,Finland,60.675,26.825,36275.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243400
134,Sunshine Ak,Susitna,United States of America,62.175,-150.175,28749.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,811403
135,Below Kluane River,Yukon,Canada,62.075,-139.875,12400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812927
136,Carmacks,Yukon,Canada,62.075,-136.275,81800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812950
137,Kolyma At Orotuk,Kolyma,Russian Federation,62.075,148.475,43600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351897
138,Bokhalcha At 5 4 Km From Ust Ya,Kolyma,Russian Federation,62.075,150.675,13600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351897
139,Pilot Station Ak,Yukon,United States of America,61.925,-162.875,831390.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812103
140,Crooked Creek Alas,Kuskokwim,United States of America,61.875,-158.075,80549.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,811819
141,Fort Simpson,Mackenzie,Canada,61.875,-121.325,1270000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822390
142,Kulu At Kulu,Kolyma,Russian Federation,61.875,147.425,10300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351899
143,Near The Mouth,Mackenzie,Canada,61.775,-121.225,275000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822410
144,Tabaga,Lena,Russian Federation,61.775,129.675,897000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342513
145,Above Virginia Falls,Mackenzie,Canada,61.625,-125.775,14600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822427
146,Pod  Tunguska,Yenisei,Russian Federation,61.575,90.075,1760000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,322390
147,Susitna Station Ak,Susitna,United States of America,61.525,-150.525,50246.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,811401
148,Near Chitina Alas,Copper,United States of America,61.475,-144.425,53354.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,811203
149,Above Frank Creek,Yukon,Canada,61.425,-135.125,30821.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812981
150,Losna,Gloma,Norway,61.325,10.275,11210.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,251022
151,Harjavalta,Kokemaenjoki,Finland,61.325,22.125,26117.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,243520
152,Above Clausen Creek,Mackenzie,Canada,61.275,-124.075,33400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822421
153,Near Fort Providence,Mackenzie,Canada,61.275,-117.525,970000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822519
154,Outlet Of Ennadai Lake,Thelon,Canada,61.275,-100.975,21400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,832426
155,Ljusne Stroemmar Krv,Coastal,Sweden,61.225,17.075,19817.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,5,244508
156,Below Aishihik Lake,Alsek,Canada,61.175,-137.025,3000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,811102
184,Above Bates River,Alsek,Canada,60.125,-137.975,16200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,811102
203,Near Yakutat Alas,Alsek,United States of America,59.375,-138.075,28024.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,6,811102
157,Tainionkoski,Vuoksi,Finland,61.175,28.775,61061.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243225
158,Belogorye,Ob,Russian Federation,61.075,68.625,2690000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,312390
159,Buotama At Brolog,Lena,Russian Federation,61.075,128.675,12200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342520
160,Na,Ob,Russian Federation,61.025,75.775,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,312419
161,Hanti Mansisk,Ob,Russian Federation,60.975,69.025,1200000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,312510
162,Nuya At Kurum,Lena,Russian Federation,60.975,115.175,32600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342761
163,Outlet Of Kakisa Lake,Mackenzie,Canada,60.925,-117.375,15600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822520
164,Xii Ges,Neva,Russian Federation,60.925,34.325,67100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,243245
165,Namana At Myakinda,Lena,Russian Federation,60.925,120.875,16600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342580
166,Elverum,Gloma,Norway,60.875,11.575,15426.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,251023
182,Skarnes,Gloma,Norway,60.275,11.675,20300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,251023
167,Above Outlet Sealhole Lake,Thlewiaza,Canada,60.775,-98.775,27000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,832803
168,Whitehorse,Yukon,Canada,60.725,-135.025,19400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,812983
169,Near Hay River,Mackenzie,Canada,60.725,-115.875,52300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,822541
