pfaf_id,Rain_TotalArea_km,perc_Area,MeanRain,MaxRain
293100,27.870210857105622,1.698591219929001,0.01,0.01
453486,58.82358949516014,2.018739753230143,0.01,0.01
453488,1554.1245746622114,49.38648494056094,0.039622641509433947,0.12
453489,468.2301288198382,6.799411112547304,0.015,0.03
453493,29.191996778689816,0.6247745906216883,0.01,0.01
453494,2742.7306556663607,67.90998954294939,0.03319148936170212,0.09
453495,2272.3514852274266,30.38868332003652,0.015000000000000001,0.04
453498,5676.705038542868,89.11868088265497,0.05076923076923077,0.37
453499,3220.530573088691,33.239778127303794,0.03279279279279279,0.27
453643,1157.850073010461,11.752715636731448,0.010256410256410258,0.02
453644,20851.55447659846,88.33455884607953,0.23053084648493544,1.8
453645,3066.6166619690975,54.361891984884615,0.011941747572815535,0.03
453646,3103.9943305814204,101.4909959697758,0.0614423076923077,0.37
453647,5062.320198995041,96.77955633432083,0.047529411764705896,0.2
453648,5195.717632305212,99.12885387928553,0.19833333333333336,1.01
453649,14913.09227022632,100.48662465678105,0.30417670682730924,1.02
453650,413.64531132267655,4.4948905336168306,0.009999999999999998,0.01
453661,1420.4601357779482,31.868559352209797,0.011875000000000002,0.02
453662,2690.452807525561,80.11425589647992,0.021648351648351646,0.08
453663,296.7773868173508,15.725647177545705,0.013000000000000001,0.02
453664,11261.519090696027,97.34801187869779,0.19598944591029024,4.53
453665,1214.0225472386633,94.46005584058726,0.023414634146341467,0.08
453666,8627.682235165954,99.3925928409852,0.5820274914089346,9.8
453667,18819.822433675618,98.4753576208825,0.7640345368916799,10.7
453668,3528.3981680444767,100.16339616131611,0.9474166666666668,4.38
453669,1795.8693772873778,94.740383388763,2.1963934426229503,5.78
453670,16711.9818237537,67.52004866242922,0.04040564373897707,0.16
453680,4680.974566039398,37.6527063062433,0.018312500000000002,0.06
453691,826.3921009393038,22.598367658619704,0.02428571428571429,0.08
453692,2502.149196210559,52.327372760671864,0.08376470588235294,0.49
453694,6248.301555339465,90.32349315697013,0.37061032863849763,3.7
453695,2020.4322650039849,49.52012305024107,0.012173913043478262,0.03
453696,4581.6923595811895,99.42903408742035,0.13611464968152867,0.58
453697,497.56026297204147,78.1044169303573,0.01647058823529412,0.03
453698,2897.3289608777714,98.05647425451603,0.9019191919191918,4.56
453699,3155.5511711377917,99.71068153171096,0.39592592592592596,1.17
453749,358.3183557864718,2.706438874235849,0.009999999999999998,0.01
453806,1983.7192782931288,22.696235314297198,0.1687878787878788,0.49
453809,7765.071233246688,63.511753508887416,0.37775193798449613,0.96
454033,23461.880013200323,74.50042386218179,0.29854219948849103,4.27
454034,4854.764964157584,101.44693331554748,1.2247852760736198,3.49
454035,25544.521302365545,100.58689379448862,5.737009237875289,20.42
454036,4428.263989510393,98.43203240462543,1.1321052631578947,5.01
454037,291.15079949647463,94.15546927646471,6.438000000000001,9.52
454038,4038.4694676988684,103.6276852019318,1.8130215827338128,8.86
454039,10234.409678048782,72.68437876794661,0.5472881355932203,7.32
454041,1553.3651876776287,12.381093518072069,0.03870370370370369,0.48
454042,259.3727232227178,8.730511547612924,0.01,0.01
454044,577.883180636451,5.655317498186954,0.011500000000000002,0.03
454050,2097.3553361885397,83.80416517648489,0.1756164383561644,0.72
454061,1290.2048364617215,3.8134329588337423,0.011555555555555557,0.04
454070,3320.735758055721,54.49795238184646,0.06172413793103449,0.38
454081,28.556658219170885,0.7054632308308995,0.01,0.01
454090,28.56686387821432,100.70470037815728,0.01,0.01
455100,1255.785663335923,66.2463889117964,0.04840909090909091,0.15
455200,11844.203988668403,39.422514601374736,0.8303846153846155,3.91
455300,23461.9880312205,99.42896268608936,3.5163525091799266,14.6
455400,10435.516943116378,99.41574709257542,3.017472527472528,10.18
455500,14909.638505332536,101.10155690982137,2.54088122605364,6.9
455600,19765.906936074585,67.36038772464097,1.103328550932568,3.67
455700,11428.955145976546,100.13569619109491,2.1624565756823824,5.93
455810,6990.744860865874,100.8570385011526,1.7852610441767067,2.62
455821,19888.13022176434,99.09552362764802,1.828836879432624,6.37
455822,4577.820995931443,92.41282458147907,0.843558282208589,1.63
455823,12079.446701097319,44.80204406518811,0.6756410256410257,2.75
455830,13826.432648549584,94.03508647943998,0.9201214574898786,2.39
455840,2260.2638808328525,17.09302593651123,0.01814814814814815,0.04
455851,2117.5747054409167,12.283372000377488,0.02315789473684211,0.06
455900,5777.9154384241465,98.30153394656477,2.0914146341463415,2.8
456100,11470.606193282983,66.95778533274253,0.8070316301703163,2.4
456201,637.821524454175,15.552259589170497,0.021739130434782608,0.04
457001,3091.149679436443,98.49867188621256,1.604181818181818,2.32
457002,1680.9340735288083,99.53654921551727,1.7956666666666665,2.36
457003,504.11252289569734,92.35642776576417,1.4733333333333332,1.81
457004,2318.853194706901,101.92603859828493,0.7959036144578312,1.7
457005,867.3355473827795,93.17441816511896,0.7119354838709677,1.18
457006,4982.970424867239,49.878392553303705,0.1487709497206704,0.82
457007,2229.6734118164054,97.26296500572114,0.157375,0.75
457008,1362.7615221177564,10.209646095468777,0.02020408163265306,0.08
457009,612.7968612788633,48.63546553453703,0.024090909090909093,0.05
